id	chr	start	end	tss
A1BG	19	58856544	58864865	58864865
A1CF	10	52559169	52645435	52645435
A2M	12	9220260	9268825	9268825
A2ML1	12	8975068	9039597	8975068
A3GALT2	1	33772367	33786699	33786699
A4GALT	22	43088127	43117304	43117304
A4GNT	3	137842560	137851229	137851229
AAAS	12	53701240	53718648	53718648
AACS	12	125549925	125627873	125549925
AADAC	3	151531825	151546276	151531825
AADACL2	3	151451704	151479127	151451704
AADACL3	1	12776118	12788726	12776118
AADACL4	1	12704566	12727097	12704566
AADAT	4	170981373	171012850	171012850
AAED1	9	99401859	99417585	99417585
AAGAB	15	67493371	67547533	67547533
AAK1	2	69688532	69901481	69901481
AAMDC	11	77532155	77629478	77532155
AAMP	2	219128850	219134980	219134980
AANAT	17	74449433	74466199	74449433
AAR2	20	34824381	34858840	34824381
AARD	8	117950438	117956726	117950438
AARS	16	70286198	70323446	70323446
AARS2	6	44267391	44281063	44281063
AARSD1	17	41102543	41116515	41116515
AASDH	4	57204456	57253666	57253666
AASDHPPT	11	105946228	105969437	105946228
AASS	7	121715701	121784334	121784334
AATF	17	35306175	35414171	35306175
AATK	17	79091095	79139877	79139877
ABAT	16	8768422	8878432	8768422
ABCA1	9	107543283	107690518	107690518
ABCA10	17	67143355	67240987	67240987
ABCA12	2	215796266	216003151	216003151
ABCA13	7	48211055	48687092	48211055
ABCA2	9	139901686	139923367	139923367
ABCA3	16	2325882	2390747	2390747
ABCA4	1	94458393	94586688	94586688
ABCA5	17	67240452	67323385	67323385
ABCA6	17	67074843	67138029	67138029
ABCA7	19	1040102	1065571	1040102
ABCA8	17	66863433	66951533	66951492
ABCA9	17	66970629	67057205	67057205
ABCB1	7	87133175	87342611	87342611
ABCB10	1	229652329	229694442	229694442
ABCB11	2	169779448	169887832	169887832
ABCB4	7	87031013	87109751	87109751
ABCB5	7	20654830	20816658	20654830
ABCB6	2	220074490	220083712	220083712
ABCB7	X	74273115	74376567	74376567
ABCB8	7	150725510	150744869	150725510
ABCB9	12	123405498	123466196	123466196
ABCC1	16	16043434	16236931	16043434
ABCC10	6	43395104	43418168	43395104
ABCC11	16	48200821	48281479	48281479
ABCC12	16	48116884	48189929	48189929
ABCC2	10	101542489	101611949	101542489
ABCC3	17	48712138	48769613	48712138
ABCC4	13	95672083	95953687	95953687
ABCC5	3	183637722	183735803	183735803
ABCC6	16	16242785	16317379	16317379
ABCC8	11	17414432	17498449	17498449
ABCC9	12	21950335	22094336	22094336
ABCD1	X	152990323	153010216	152990323
ABCD2	12	39943835	40013553	40013553
ABCD3	1	94883933	94984222	94883933
ABCD4	14	74752126	74769759	74769759
ABCE1	4	146019084	146050331	146019084
ABCF1	6	30539153	30564956	30539153
ABCF2	7	150904923	150924316	150924316
ABCF3	3	183903811	183911800	183903811
ABCG1	21	43619799	43717354	43619799
ABCG2	4	89011416	89152474	89152474
ABCG4	11	119019722	119033360	119019722
ABCG5	2	44039611	44066004	44066004
ABCG8	2	44066103	44105605	44066103
ABHD1	2	27346682	27353680	27346691
